gene_name,gene_id,genome
KIFBP,ENSG00000198954,hg38
TGM2,ENSG00000198959,hg38
ARMCX6,ENSG00000198960,hg38
PJA2,ENSG00000198961,hg38
RORB,ENSG00000198963,hg38
SGMS1,ENSG00000198964,hg38
OR10R2,ENSG00000198965,hg38
OR10Z1,ENSG00000198967,hg38
MIRLET7E,ENSG00000198972,hg38
MIR375,ENSG00000198973,hg38
MIR30E,ENSG00000198974,hg38
MIRLET7A2,ENSG00000198975,hg38
MIR429,ENSG00000198976,hg38
MIR380,ENSG00000198982,hg38
MIR449A,ENSG00000198983,hg38
MIR345,ENSG00000198984,hg38
MIR16-2,ENSG00000198987,hg38
MIR340,ENSG00000198995,hg38
MIR107,ENSG00000198997,hg38
MIR448,ENSG00000199001,hg38
MIR370,ENSG00000199005,hg38
MIR412,ENSG00000199012,hg38
MIR377,ENSG00000199015,hg38
MIR1-1,ENSG00000199017,hg38
MIR381,ENSG00000199020,hg38
MIR339,ENSG00000199023,hg38
MIR103A2,ENSG00000199024,hg38
MIR369,ENSG00000199025,hg38
MIRLET7C,ENSG00000199030,hg38
MIR371A,ENSG00000199031,hg38
MIR425,ENSG00000199032,hg38
MIR103A1,ENSG00000199035,hg38
MIR219A1,ENSG00000199036,hg38
MIR210,ENSG00000199038,hg38
MIR335,ENSG00000199043,hg38
MIR378A,ENSG00000199047,hg38
MIR361,ENSG00000199051,hg38
MIR324,ENSG00000199053,hg38
MIR135B,ENSG00000199059,hg38
MIR101-2,ENSG00000199065,hg38
MIR323A,ENSG00000199069,hg38
MIRLET7F1,ENSG00000199072,hg38
MIR26A1,ENSG00000199075,hg38
MIR129-2,ENSG00000199077,hg38
MIR133B,ENSG00000199080,hg38
MIR342,ENSG00000199082,hg38
MIR148A,ENSG00000199085,hg38
MIR379,ENSG00000199088,hg38
MIR326,ENSG00000199090,hg38
MIR410,ENSG00000199092,hg38
MIR30C2,ENSG00000199094,hg38
MIR372,ENSG00000199095,hg38
MIR302C,ENSG00000199102,hg38
MIR346,ENSG00000199104,hg38
MIR409,ENSG00000199107,hg38
MIR411,ENSG00000199109,hg38
MIR26B,ENSG00000199121,hg38
MIR148B,ENSG00000199122,hg38
MIR383,ENSG00000199127,hg38
MIR365A,ENSG00000199130,hg38
MIR450A1,ENSG00000199132,hg38
MIRLET7D,ENSG00000199133,hg38
MIR101-1,ENSG00000199135,hg38
MIR373,ENSG00000199143,hg38
MIR302D,ENSG00000199145,hg38
MIRLET7G,ENSG00000199150,hg38
MIR337,ENSG00000199151,hg38
MIR30D,ENSG00000199153,hg38
MIR422A,ENSG00000199156,hg38
MIR208A,ENSG00000199157,hg38
MIR96,ENSG00000199158,hg38
MIR126,ENSG00000199161,hg38
MIRLET7A1,ENSG00000199165,hg38
MIR374A,ENSG00000199168,hg38
MIR367,ENSG00000199169,hg38
MIR331,ENSG00000199172,hg38
MIR31,ENSG00000199177,hg38
MIRLET7I,ENSG00000199179,hg38
ENSG00000199196,ENSG00000199196,hg38
RN7SKP72,ENSG00000199197,hg38
Y_RNA-1,ENSG00000199200,hg38
Y_RNA-2,ENSG00000199201,hg38
RNA5SP289,ENSG00000199202,hg38
Y_RNA-3,ENSG00000199203,hg38
Y_RNA-4,ENSG00000199204,hg38
RNU105C,ENSG00000199212,hg38
RNU6-1123P,ENSG00000199217,hg38
RN7SKP184,ENSG00000199218,hg38
RNU6-500P,ENSG00000199219,hg38
Y_RNA-5,ENSG00000199220,hg38
Y_RNA-6,ENSG00000199222,hg38
Y_RNA-7,ENSG00000199223,hg38
Y_RNA-8,ENSG00000199224,hg38
RNU6-50P,ENSG00000199226,hg38
ENSG00000199231,ENSG00000199231,hg38
RNU6-834P,ENSG00000199237,hg38
RNA5SP46,ENSG00000199240,hg38
Y_RNA-9,ENSG00000199241,hg38
Y_RNA-10,ENSG00000199245,hg38
RNU6-896P,ENSG00000199246,hg38
RNU6-28P,ENSG00000199248,hg38
RNU6-664P,ENSG00000199251,hg38
RNU6-874P,ENSG00000199260,hg38
Y_RNA-11,ENSG00000199263,hg38
SNORA60,ENSG00000199266,hg38
RNA5S12,ENSG00000199270,hg38
RNU6-349P,ENSG00000199272,hg38
Y_RNA-12,ENSG00000199273,hg38
RNA5SP26,ENSG00000199276,hg38
RNU6-661P,ENSG00000199279,hg38
ENSG00000199282,ENSG00000199282,hg38
RNU1-58P,ENSG00000199283,hg38
Y_RNA-13,ENSG00000199285,hg38
RNU6-1094P,ENSG00000199286,hg38
RNU6-502P,ENSG00000199289,hg38
Y_RNA-14,ENSG00000199290,hg38
Y_RNA-15,ENSG00000199291,hg38
SNORA21,ENSG00000199293,hg38
RNU6-1312P,ENSG00000199295,hg38
RNA5SP430,ENSG00000199299,hg38
RNU6-208P,ENSG00000199301,hg38
Y_RNA-16,ENSG00000199303,hg38
RNU6-858P,ENSG00000199306,hg38
RNU6-222P,ENSG00000199308,hg38
SNORD115-34,ENSG00000199311,hg38
RNU4-82P,ENSG00000199313,hg38
RNA5SP347,ENSG00000199315,hg38
RNA5SP52,ENSG00000199318,hg38
RN7SKP25,ENSG00000199319,hg38
ENSG00000199321,ENSG00000199321,hg38
RNA5SP183,ENSG00000199322,hg38
RNU4-39P,ENSG00000199325,hg38
RNU6-1298P,ENSG00000199326,hg38
RNU6-230P,ENSG00000199327,hg38
Y_RNA-17,ENSG00000199331,hg38
Y_RNA-18,ENSG00000199332,hg38
RNA5S11,ENSG00000199334,hg38
RNU6-204P,ENSG00000199335,hg38
RNA5S3,ENSG00000199337,hg38
RNU5E-1,ENSG00000199347,hg38
RNU6-766P,ENSG00000199348,hg38
Y_RNA-19,ENSG00000199349,hg38
RNA5SP432,ENSG00000199350,hg38
RNA5S1,ENSG00000199352,hg38
RNA5SP273,ENSG00000199354,hg38
Y_RNA-20,ENSG00000199357,hg38
RNU6-1115P,ENSG00000199360,hg38
RNU1-150P,ENSG00000199361,hg38
Y_RNA-21,ENSG00000199362,hg38
SNORA63E,ENSG00000199363,hg38
RNA5SP327,ENSG00000199364,hg38
Y_RNA-22,ENSG00000199366,hg38
RNU6-1084P,ENSG00000199368,hg38
U3,ENSG00000199370,hg38
RNA5SP453,ENSG00000199373,hg38
RNU5F-1,ENSG00000199377,hg38
Y_RNA-23,ENSG00000199378,hg38
RNU6-79P,ENSG00000199381,hg38
RNU6-369P,ENSG00000199385,hg38
SNORD114-7,ENSG00000199390,hg38
ENSG00000199392,ENSG00000199392,hg38
RNU6-600P,ENSG00000199394,hg38
RNA5SP93,ENSG00000199395,hg38
RNA5S5,ENSG00000199396,hg38
Y_RNA-24,ENSG00000199398,hg38
RNY4P19,ENSG00000199400,hg38
RNA5SP308,ENSG00000199402,hg38
SNORA1B,ENSG00000199405,hg38
RNA5SP301,ENSG00000199407,hg38
Y_RNA-25,ENSG00000199409,hg38
Y_RNA-26,ENSG00000199410,hg38
SNORD62,ENSG00000199411,hg38
RNA5SP370,ENSG00000199415,hg38
RN7SKP170,ENSG00000199420,hg38
VTRNA3-1P,ENSG00000199422,hg38
Y_RNA-27,ENSG00000199424,hg38
RNU1-108P,ENSG00000199426,hg38
SNORD9,ENSG00000199436,hg38
Y_RNA-28,ENSG00000199440,hg38
Y_RNA-29,ENSG00000199442,hg38
Y_RNA-30,ENSG00000199444,hg38
RNU6-543P,ENSG00000199446,hg38
RNU6-845P,ENSG00000199448,hg38
RNA5SP276,ENSG00000199450,hg38
SNORD115-12,ENSG00000199453,hg38
RNA5SP388,ENSG00000199454,hg38
RNA5SP191,ENSG00000199455,hg38
RNU4-35P,ENSG00000199458,hg38
Y_RNA-31,ENSG00000199459,hg38
RNU6-1216P,ENSG00000199460,hg38
Y_RNA-32,ENSG00000199461,hg38
Y_RNA-33,ENSG00000199466,hg38
RNU6-556P,ENSG00000199468,hg38
RNU1-62P,ENSG00000199469,hg38
ENSG00000199470,ENSG00000199470,hg38
Y_RNA-34,ENSG00000199471,hg38
Y_RNA-35,ENSG00000199472,hg38
SNORA63,ENSG00000199473,hg38
ENSG00000199474,ENSG00000199474,hg38
RN7SKP104,ENSG00000199475,hg38
Y_RNA-36,ENSG00000199476,hg38
SNORA31,ENSG00000199477,hg38
RNA5SP389,ENSG00000199480,hg38
RNU6-633P,ENSG00000199482,hg38
RNU4-15P,ENSG00000199483,hg38
Y_RNA-37,ENSG00000199487,hg38
RNU1-70P,ENSG00000199488,hg38
SNORD115-25,ENSG00000199489,hg38
Y_RNA-38,ENSG00000199490,hg38
RNU6-1313P,ENSG00000199492,hg38
RNU1-94P,ENSG00000199497,hg38
RNU6-247P,ENSG00000199506,hg38
RNA5SP110,ENSG00000199508,hg38
RNA5SP477,ENSG00000199509,hg38
RNU6-212P,ENSG00000199512,hg38
RNU6-235P,ENSG00000199514,hg38
Y_RNA-39,ENSG00000199515,hg38
Y_RNA-40,ENSG00000199516,hg38
RNU6-386P,ENSG00000199520,hg38
RNA5SP226,ENSG00000199523,hg38
RNA5SP295,ENSG00000199525,hg38
RNU6-462P,ENSG00000199529,hg38
Y_RNA-41,ENSG00000199530,hg38
RNA5SP305,ENSG00000199535,hg38
RNU6-315P,ENSG00000199536,hg38
Y_RNA-42,ENSG00000199540,hg38
RNA5SP195,ENSG00000199545,hg38
Y_RNA-43,ENSG00000199546,hg38
Y_RNA-44,ENSG00000199550,hg38
RNU6-545P,ENSG00000199551,hg38
SNORA63-1,ENSG00000199552,hg38
RNA5SP361,ENSG00000199556,hg38
RNU6-37P,ENSG00000199562,hg38
RNA5SP502,ENSG00000199564,hg38
Y_RNA-45,ENSG00000199565,hg38
ENSG00000199566,ENSG00000199566,hg38
Y_RNA-46,ENSG00000199567,hg38
RNU5A-1,ENSG00000199568,hg38
RNU6-228P,ENSG00000199570,hg38
ENSG00000199571,ENSG00000199571,hg38
RNA5SP174,ENSG00000199572,hg38
SNORD18C,ENSG00000199574,hg38
SNORD114-1,ENSG00000199575,hg38
RNU6-822P,ENSG00000199577,hg38
Y_RNA-47,ENSG00000199580,hg38
Y_RNA-48,ENSG00000199584,hg38
RNA5SP119,ENSG00000199585,hg38
Y_RNA-49,ENSG00000199591,hg38
RNA5SP321,ENSG00000199592,hg38
SNORD114-14,ENSG00000199593,hg38
RNU6-1301P,ENSG00000199594,hg38
Y_RNA-50,ENSG00000199595,hg38
RNU6-859P,ENSG00000199598,hg38
RNU6-562P,ENSG00000199601,hg38
RNU6-951P,ENSG00000199603,hg38
RNY4P24,ENSG00000199605,hg38
RNA5SP124,ENSG00000199609,hg38
RNA5SP258,ENSG00000199620,hg38
RN7SKP20,ENSG00000199622,hg38
RNU6-989P,ENSG00000199626,hg38
RNU6-1010P,ENSG00000199627,hg38
RNU1-14P,ENSG00000199629,hg38
Y_RNA-51,ENSG00000199630,hg38
SNORD33,ENSG00000199631,hg38
SNORA63-2,ENSG00000199633,hg38
RNU4-79P,ENSG00000199634,hg38
Y_RNA-52,ENSG00000199635,hg38
Y_RNA-53,ENSG00000199636,hg38
RNA5SP319,ENSG00000199638,hg38
RN7SKP294,ENSG00000199640,hg38
RNU4-90P,ENSG00000199643,hg38
RNU6-1330P,ENSG00000199645,hg38
RNU6-1272P,ENSG00000199646,hg38
RNU1-35P,ENSG00000199652,hg38
RNU6-1266P,ENSG00000199664,hg38
SNORD3G,ENSG00000199666,hg38
Y_RNA-54,ENSG00000199667,hg38
Y_RNA-55,ENSG00000199668,hg38
RNU4-21P,ENSG00000199672,hg38
SNORD16,ENSG00000199673,hg38
RNU6-862P,ENSG00000199674,hg38
Y_RNA-56,ENSG00000199676,hg38
Y_RNA-57,ENSG00000199677,hg38
RN7SKP185,ENSG00000199683,hg38
RNU1-38P,ENSG00000199687,hg38
RN7SKP173,ENSG00000199691,hg38
RNU6-1128P,ENSG00000199695,hg38
RNU6-446P,ENSG00000199697,hg38
Y_RNA-58,ENSG00000199698,hg38
RNU6-223P,ENSG00000199700,hg38
Y_RNA-59,ENSG00000199701,hg38
RNU6-170P,ENSG00000199702,hg38
SNORD115-29,ENSG00000199704,hg38
Y_RNA-60,ENSG00000199705,hg38
RNU4-23P,ENSG00000199709,hg38
Y_RNA-61,ENSG00000199710,hg38
Y_RNA-62,ENSG00000199711,hg38
SNORD115-2,ENSG00000199712,hg38
U8,ENSG00000199713,hg38
Y_RNA-63,ENSG00000199715,hg38
Y_RNA-64,ENSG00000199716,hg38
RN7SKP74,ENSG00000199719,hg38
RNU6-655P,ENSG00000199728,hg38
RN7SKP95,ENSG00000199730,hg38
RNU6-1079P,ENSG00000199731,hg38
Y_RNA-65,ENSG00000199732,hg38
RNA5SP307,ENSG00000199733,hg38
RNU6-227P,ENSG00000199735,hg38
RNU6-552P,ENSG00000199739,hg38
Y_RNA-66,ENSG00000199740,hg38
SNORD36A,ENSG00000199744,hg38
Y_RNA-67,ENSG00000199751,hg38
SNORD104,ENSG00000199753,hg38
Y_RNA-68,ENSG00000199755,hg38
Y_RNA-69,ENSG00000199756,hg38
Y_RNA-70,ENSG00000199762,hg38
Y_RNA-71,ENSG00000199764,hg38
RNU6-363P,ENSG00000199765,hg38
RNU6-78P,ENSG00000199767,hg38
RNA5SP426,ENSG00000199771,hg38
RNU1-76P,ENSG00000199773,hg38
Y_RNA-72,ENSG00000199780,hg38
Y_RNA-73,ENSG00000199781,hg38
SNORD115-9,ENSG00000199782,hg38
ENSG00000199783,ENSG00000199783,hg38
RNU6-1287P,ENSG00000199784,hg38
SNORA52,ENSG00000199785,hg38
RNA5SP188,ENSG00000199786,hg38
SNORA80C,ENSG00000199787,hg38
RNY3P2,ENSG00000199788,hg38
RNU6-836P,ENSG00000199790,hg38
RNU6-451P,ENSG00000199791,hg38
RNU6-1233P,ENSG00000199792,hg38
RNU6-924P,ENSG00000199796,hg38
Y_RNA-74,ENSG00000199797,hg38
SNORD114-5,ENSG00000199798,hg38
Y_RNA-75,ENSG00000199801,hg38
RNU6-1159P,ENSG00000199803,hg38
RNA5SP383,ENSG00000199804,hg38
RNU1-134P,ENSG00000199805,hg38
RNA5SP491,ENSG00000199806,hg38
RNA5SP374,ENSG00000199809,hg38
RNU6-428P,ENSG00000199812,hg38
RNU6-1260P,ENSG00000199814,hg38
ENSG00000199815,ENSG00000199815,hg38
RNU6-199P,ENSG00000199824,hg38
RNU6-1290P,ENSG00000199827,hg38
RN7SKP291,ENSG00000199831,hg38
Y_RNA-76,ENSG00000199832,hg38
SNORD115-21,ENSG00000199833,hg38
RNU1-47P,ENSG00000199836,hg38
RNA5SP150,ENSG00000199839,hg38
Y_RNA-77,ENSG00000199840,hg38
RNA5SP358,ENSG00000199843,hg38
RNA5SP375,ENSG00000199845,hg38
RNU1-72P,ENSG00000199846,hg38
RNU5F-6P,ENSG00000199849,hg38
U3-1,ENSG00000199851,hg38
RNU6-490P,ENSG00000199855,hg38
U3-2,ENSG00000199856,hg38
ENSG00000199857,ENSG00000199857,hg38
RNU6-1120P,ENSG00000199858,hg38
RNU6-582P,ENSG00000199859,hg38
Y_RNA-78,ENSG00000199862,hg38
RNU6-495P,ENSG00000199865,hg38
Y_RNA-79,ENSG00000199866,hg38
Y_RNA-80,ENSG00000199867,hg38
Y_RNA-81,ENSG00000199870,hg38
RNU6-942P,ENSG00000199872,hg38
RNA5SP452,ENSG00000199874,hg38
Y_RNA-82,ENSG00000199875,hg38
RN7SKP149,ENSG00000199878,hg38
RNVU1-22,ENSG00000199879,hg38
RNU6-888P,ENSG00000199880,hg38
Y_RNA-83,ENSG00000199881,hg38
RN7SKP90,ENSG00000199883,hg38
Y_RNA-84,ENSG00000199884,hg38
RNU6-330P,ENSG00000199885,hg38
RNU6-249P,ENSG00000199886,hg38
Y_RNA-85,ENSG00000199890,hg38
RNU1-17P,ENSG00000199892,hg38
ENSG00000199894,ENSG00000199894,hg38
Y_RNA-86,ENSG00000199895,hg38
Y_RNA-87,ENSG00000199899,hg38
Y_RNA-88,ENSG00000199901,hg38
RNU6-1273P,ENSG00000199903,hg38
RNU6-492P,ENSG00000199905,hg38
RNU5B-2P,ENSG00000199906,hg38
RNA5S10,ENSG00000199910,hg38
Y_RNA-89,ENSG00000199911,hg38
Y_RNA-90,ENSG00000199912,hg38
Y_RNA-91,ENSG00000199913,hg38
SNORD114-16,ENSG00000199914,hg38
RNU4-44P,ENSG00000199920,hg38
RNU6-161P,ENSG00000199921,hg38
RNU6-1252P,ENSG00000199924,hg38
ENSG00000199927,ENSG00000199927,hg38
RNA5SP405,ENSG00000199929,hg38
RNU1-18P,ENSG00000199932,hg38
RNY1P16,ENSG00000199933,hg38
SNORD81,ENSG00000199934,hg38
Y_RNA-92,ENSG00000199936,hg38
Y_RNA-93,ENSG00000199938,hg38
RN7SKP75,ENSG00000199940,hg38
SNORD114-19,ENSG00000199942,hg38
RNU6-653P,ENSG00000199944,hg38
Y_RNA-94,ENSG00000199949,hg38
RNA5SP443,ENSG00000199953,hg38
ENSG00000199959,ENSG00000199959,hg38
SNORD115-14,ENSG00000199960,hg38
SNORD1B,ENSG00000199961,hg38
Y_RNA-95,ENSG00000199962,hg38
RNU6-605P,ENSG00000199963,hg38
Y_RNA-96,ENSG00000199964,hg38
SNORD115-19,ENSG00000199968,hg38
SNORD115-3,ENSG00000199970,hg38
RNU6-797P,ENSG00000199971,hg38
RN7SKP243,ENSG00000199975,hg38
SNORA73,ENSG00000199977,hg38
Y_RNA-97,ENSG00000199979,hg38
RNA5SP264,ENSG00000199985,hg38
RNU6-486P,ENSG00000199986,hg38
VTRNA1-1,ENSG00000199990,hg38
RNA5SP145,ENSG00000199994,hg38
RNU6-986P,ENSG00000200003,hg38
Y_RNA-98,ENSG00000200008,hg38
Y_RNA-99,ENSG00000200011,hg38
RNU6-623P,ENSG00000200013,hg38
RNA5SP448,ENSG00000200021,hg38
Y_RNA-100,ENSG00000200024,hg38
U8-1,ENSG00000200026,hg38
RNA5SP98,ENSG00000200028,hg38
RNU6-642P,ENSG00000200029,hg38
RNU6-403P,ENSG00000200033,hg38
RNU4-73P,ENSG00000200034,hg38
RNA5SP65,ENSG00000200036,hg38
Y_RNA-101,ENSG00000200040,hg38
Y_RNA-102,ENSG00000200041,hg38
RN7SKP115,ENSG00000200047,hg38
RNU6-812P,ENSG00000200048,hg38
Y_RNA-103,ENSG00000200049,hg38
ENSG00000200051,ENSG00000200051,hg38
Y_RNA-104,ENSG00000200052,hg38
RN7SKP63,ENSG00000200057,hg38
RNA5SP218,ENSG00000200058,hg38
Y_RNA-105,ENSG00000200059,hg38
Y_RNA-106,ENSG00000200060,hg38
RNU4-58P,ENSG00000200062,hg38
ENSG00000200063,ENSG00000200063,hg38
RNY4P9,ENSG00000200064,hg38
Y_RNA-107,ENSG00000200065,hg38
RNU4-80P,ENSG00000200070,hg38
ENSG00000200072,ENSG00000200072,hg38
ENSG00000200075,ENSG00000200075,hg38
RNA5SP326,ENSG00000200079,hg38
SNORD68,ENSG00000200084,hg38
Y_RNA-108,ENSG00000200085,hg38
RNU6-433P,ENSG00000200086,hg38
SNORA73B,ENSG00000200087,hg38
SNORD114-31,ENSG00000200089,hg38
Y_RNA-109,ENSG00000200090,hg38
RN7SKP163,ENSG00000200091,hg38
RNU6-181P,ENSG00000200095,hg38
RNU6-1167P,ENSG00000200097,hg38
RNU6-508P,ENSG00000200101,hg38
RNU6-252P,ENSG00000200102,hg38
RNU6-251P,ENSG00000200105,hg38
RNU6-984P,ENSG00000200106,hg38
RNU6-1249P,ENSG00000200107,hg38
RNU6-774P,ENSG00000200108,hg38
ENSG00000200112,ENSG00000200112,hg38
ENSG00000200113,ENSG00000200113,hg38
RNA5SP123,ENSG00000200114,hg38
Y_RNA-110,ENSG00000200118,hg38
Y_RNA-111,ENSG00000200120,hg38
Y_RNA-112,ENSG00000200121,hg38
RN7SKP77,ENSG00000200131,hg38
RNU6-1021P,ENSG00000200132,hg38
Y_RNA-113,ENSG00000200135,hg38
RNY1P10,ENSG00000200138,hg38
RNU6-778P,ENSG00000200139,hg38
Y_RNA-114,ENSG00000200142,hg38
RNU6-544P,ENSG00000200146,hg38
ENSG00000200150,ENSG00000200150,hg38
RN7SKP231,ENSG00000200151,hg38
RNU6-216P,ENSG00000200152,hg38
RNU6-23P,ENSG00000200153,hg38
RNU5B-1,ENSG00000200156,hg38
RN7SKP145,ENSG00000200161,hg38
Y_RNA-115,ENSG00000200162,hg38
SNORD115-18,ENSG00000200163,hg38
Y_RNA-116,ENSG00000200164,hg38
RNA5SP350,ENSG00000200168,hg38
RNU5D-1,ENSG00000200169,hg38
Y_RNA-117,ENSG00000200170,hg38
Y_RNA-118,ENSG00000200171,hg38
Y_RNA-119,ENSG00000200174,hg38
RNU6-1309P,ENSG00000200175,hg38
RNU1-19P,ENSG00000200176,hg38
Y_RNA-120,ENSG00000200179,hg38
RNU6-238P,ENSG00000200183,hg38
RNU1-20P,ENSG00000200184,hg38
RNU6-832P,ENSG00000200189,hg38
U8-2,ENSG00000200191,hg38
RNU1-21P,ENSG00000200197,hg38
RN7SKP211,ENSG00000200198,hg38
Y_RNA-121,ENSG00000200201,hg38
RNU1-22P,ENSG00000200204,hg38
ENSG00000200206,ENSG00000200206,hg38
Y_RNA-122,ENSG00000200208,hg38
Y_RNA-123,ENSG00000200209,hg38
RNY4P27,ENSG00000200211,hg38
RNU6-992P,ENSG00000200213,hg38
SNORD113-6,ENSG00000200215,hg38
RNU6-745P,ENSG00000200216,hg38
RNU6-839P,ENSG00000200217,hg38
RNU6-697P,ENSG00000200218,hg38
RNU6-179P,ENSG00000200220,hg38
U3-3,ENSG00000200222,hg38
RNU6-626P,ENSG00000200224,hg38
RNA5SP382,ENSG00000200225,hg38
RNA5SP197,ENSG00000200227,hg38
RNU1-23P,ENSG00000200231,hg38
ENSG00000200235,ENSG00000200235,hg38
SNORA70,ENSG00000200237,hg38
RNA5SP133,ENSG00000200238,hg38
Y_RNA-124,ENSG00000200241,hg38
RN7SKP79,ENSG00000200243,hg38
RNA5SP263,ENSG00000200246,hg38
RNU6-254P,ENSG00000200247,hg38
RNA5SP214,ENSG00000200248,hg38
RNU6-1147P,ENSG00000200250,hg38
Y_RNA-125,ENSG00000200252,hg38
RNU6-529P,ENSG00000200253,hg38
RNU6-536P,ENSG00000200254,hg38
Y_RNA-126,ENSG00000200256,hg38
RNU6-97P,ENSG00000200257,hg38
SNORD35A,ENSG00000200259,hg38
Y_RNA-127,ENSG00000200261,hg38
Y_RNA-128,ENSG00000200262,hg38
RNU6-66P,ENSG00000200267,hg38
RNU6-838P,ENSG00000200269,hg38
RNU4-32P,ENSG00000200274,hg38
RNA5SP199,ENSG00000200275,hg38
RNA5SP352,ENSG00000200278,hg38
SNORD114-10,ENSG00000200279,hg38
RNU6-624P,ENSG00000200281,hg38
Y_RNA-129,ENSG00000200283,hg38
Y_RNA-130,ENSG00000200287,hg38
ENSG00000200288,ENSG00000200288,hg38
Y_RNA-131,ENSG00000200291,hg38
RNA5SP393,ENSG00000200293,hg38
ENSG00000200294,ENSG00000200294,hg38
RNU6-527P,ENSG00000200295,hg38
RNU1-83P,ENSG00000200296,hg38
Y_RNA-132,ENSG00000200298,hg38
RNA5SP483,ENSG00000200301,hg38
RNU6-940P,ENSG00000200303,hg38
RNU6-1255P,ENSG00000200304,hg38
Y_RNA-133,ENSG00000200305,hg38
Y_RNA-134,ENSG00000200309,hg38
RNA5SP215,ENSG00000200310,hg38
RN7SKP255,ENSG00000200312,hg38
RNA5-8SP7,ENSG00000200313,hg38
Y_RNA-135,ENSG00000200314,hg38
SNORD3P1,ENSG00000200318,hg38
SNORA63-3,ENSG00000200320,hg38
Y_RNA-136,ENSG00000200325,hg38
RNA5SP391,ENSG00000200326,hg38
RNA5SP62,ENSG00000200327,hg38
RNU6-183P,ENSG00000200331,hg38
Y_RNA-137,ENSG00000200332,hg38
Y_RNA-138,ENSG00000200334,hg38
RNA5SP333,ENSG00000200336,hg38
RNU1-49P,ENSG00000200338,hg38
RNU1-105P,ENSG00000200340,hg38
RNA5S8,ENSG00000200343,hg38
Y_RNA-139,ENSG00000200344,hg38
RNU6-485P,ENSG00000200345,hg38
RNU6-1285P,ENSG00000200350,hg38
Y_RNA-140,ENSG00000200351,hg38
SNORA71D,ENSG00000200354,hg38
SNORA72,ENSG00000200355,hg38
RNU6-833P,ENSG00000200356,hg38
RNU6-792P,ENSG00000200360,hg38
Y_RNA-141,ENSG00000200361,hg38
RNU6-511P,ENSG00000200366,hg38
SNORD113-8,ENSG00000200367,hg38
RNU6-666P,ENSG00000200369,hg38
RNA5S17,ENSG00000200370,hg38
RNU5E-8P,ENSG00000200372,hg38
RNU5E-10P,ENSG00000200376,hg38
ENSG00000200377,ENSG00000200377,hg38
RNU5B-4P,ENSG00000200378,hg38
RN7SKP45,ENSG00000200379,hg38
RNA5S4,ENSG00000200381,hg38
ENSG00000200385,ENSG00000200385,hg38
RNU6-618P,ENSG00000200388,hg38
RNU6-509P,ENSG00000200389,hg38
Y_RNA-142,ENSG00000200390,hg38
Y_RNA-143,ENSG00000200391,hg38
RNU6-698P,ENSG00000200393,hg38
SNORA38B,ENSG00000200394,hg38
Y_RNA-144,ENSG00000200397,hg38
SNORD115-24,ENSG00000200398,hg38
RNU6-1099P,ENSG00000200403,hg38
SNORD114-23,ENSG00000200406,hg38
RNU6-1169P,ENSG00000200407,hg38
RNA5SP74,ENSG00000200408,hg38
RNA5SP346,ENSG00000200411,hg38
SNORD114-26,ENSG00000200413,hg38
SNORA63B,ENSG00000200418,hg38
Y_RNA-145,ENSG00000200419,hg38
Y_RNA-146,ENSG00000200421,hg38
ENSG00000200422,ENSG00000200422,hg38
RNU6-1155P,ENSG00000200424,hg38
Y_RNA-147,ENSG00000200427,hg38
Y_RNA-148,ENSG00000200428,hg38
RNU4-81P,ENSG00000200431,hg38
Y_RNA-149,ENSG00000200432,hg38
RNA5-8SP2,ENSG00000200434,hg38
Y_RNA-150,ENSG00000200436,hg38
RNU6-799P,ENSG00000200437,hg38
RNU6-1066P,ENSG00000200443,hg38
RNU6-1339P,ENSG00000200444,hg38
RNU6-1085P,ENSG00000200446,hg38
Y_RNA-151,ENSG00000200448,hg38
RNU6-1112P,ENSG00000200455,hg38
RNU6-1097P,ENSG00000200456,hg38
RNU6-727P,ENSG00000200462,hg38
SNORD118,ENSG00000200463,hg38
RNA5SP403,ENSG00000200468,hg38
RNU6-112P,ENSG00000200469,hg38
RNU6-1125P,ENSG00000200471,hg38
RN7SKP44,ENSG00000200472,hg38
RNA5SP507,ENSG00000200473,hg38
RN7SKP162,ENSG00000200475,hg38
SNORD115-41,ENSG00000200478,hg38
SNORD114-28,ENSG00000200480,hg38
RNU6-1017P,ENSG00000200483,hg38
RNU6-1244P,ENSG00000200484,hg38
Y_RNA-152,ENSG00000200485,hg38
SNORD115-11,ENSG00000200486,hg38
RNA5SP322,ENSG00000200487,hg38
RN7SKP203,ENSG00000200488,hg38
U3-4,ENSG00000200492,hg38
Y_RNA-153,ENSG00000200494,hg38
RNU6-1205P,ENSG00000200495,hg38
U8-3,ENSG00000200496,hg38
Y_RNA-154,ENSG00000200502,hg38
SNORD115-5,ENSG00000200503,hg38
Y_RNA-155,ENSG00000200506,hg38
Y_RNA-156,ENSG00000200508,hg38
RNA5SP378,ENSG00000200516,hg38
RNU6-1214P,ENSG00000200520,hg38
Y_RNA-157,ENSG00000200521,hg38
RNU6-957P,ENSG00000200522,hg38
RNU6-1209P,ENSG00000200525,hg38
RNY4P14,ENSG00000200526,hg38
RNA5SP457,ENSG00000200527,hg38
RNU6-1331P,ENSG00000200528,hg38
SNORD35B,ENSG00000200530,hg38
SNORA33,ENSG00000200534,hg38
ENSG00000200536,ENSG00000200536,hg38
RNY4P6,ENSG00000200537,hg38
U3-5,ENSG00000200538,hg38
